Product Name,Category,Subcategory,Weight (kg),Material Composition,Distance (km),Recyclable,Repairable,Lifespan (yrs),Packaging Used,Eco Score,Carbon Footprint (kg CO2e),Is Eco-Friendly
Apple iPhone 15 Var1,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",5293,Yes,Yes,6,Cardboard,0.6,83.82,No
MacBook Air M2 Var1,Electronics,Laptop,1.234,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5117,Yes,Yes,6,Cardboard,0.61,160.56,No
Samsung Galaxy S24 Var1,Electronics,Smartphone,0.172,"Aluminum 60%, Glass 30%, Plastic 10%",5016,Yes,Yes,7,Cardboard,0.66,66.74,No
HP Pavilion x360 Var1,Electronics,Laptop,1.667,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4179,Yes,Yes,7,Cardboard,0.64,136.63,No
Samsung 322L Refrigerator Var1,Electronics,Refrigerator,56.506,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2037,Yes,Yes,13,Plastic,0.55,288.42,No
Godrej 7 kg Washing Machine Var1,Electronics,Washing Machine,35.627,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1580,Yes,Yes,11,Plastic,0.6,249.71,No
Philips 9W LED Bulb Var1,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1036,Yes,No,4,Paper,0.68,9.76,Yes
Organic Bananas (1kg) Var1,Grocery,Bananas,1.014,Organic 100%,183,Yes,No,2,None,0.93,2.03,Yes
Amul Gold Milk 1L Var1,Grocery,Milk,1.05,"Organic 90%, Plastic 10%",516,No,No,1,Tetrapak,0.63,3.62,Yes
Khadi Natural Herbal Shampoo Var1,Personal Care,Shampoo,0.502,"Plastic 60%, Organic 40%",277,Yes,No,2,Plastic,0.6,8.47,No
Apple iPhone 15 Var2,Electronics,Smartphone,0.179,"Aluminum 70%, Silicon 20%, Plastic 10%",4501,Yes,Yes,7,Cardboard,0.62,81.46,No
MacBook Air M2 Var2,Electronics,Laptop,1.222,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5008,Yes,Yes,6,Cardboard,0.6,153.41,No
Samsung Galaxy S24 Var2,Electronics,Smartphone,0.163,"Aluminum 60%, Glass 30%, Plastic 10%",4590,Yes,Yes,7,Cardboard,0.68,69.26,No
HP Pavilion x360 Var2,Electronics,Laptop,1.698,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3868,Yes,Yes,6,Cardboard,0.66,128.6,No
Samsung 322L Refrigerator Var2,Electronics,Refrigerator,53.483,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1978,Yes,Yes,11,Plastic,0.62,309.68,No
Godrej 7 kg Washing Machine Var2,Electronics,Washing Machine,34.844,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1575,Yes,Yes,9,Plastic,0.6,237.55,No
Philips 9W LED Bulb Var2,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",943,Yes,No,4,Paper,0.77,9.95,Yes
Organic Bananas (1kg) Var2,Grocery,Bananas,0.972,Organic 100%,180,Yes,No,2,None,0.9,2.08,Yes
Amul Gold Milk 1L Var2,Grocery,Milk,1.003,"Organic 90%, Plastic 10%",520,No,No,1,Tetrapak,0.64,3.67,Yes
